bar_id,instrument_id,edo,step,step_name,cents_from_step0,ratio_to_step0,freq_if_step0_is_C
7EDO-001,MICRORIMBA_7LIMIT_7EDO,7,0,C,0.0,1.0,131.646138
7EDO-002,MICRORIMBA_7LIMIT_7EDO,7,1,C+1,171.428571,1.104089513674,150.732000
7EDO-003,MICRORIMBA_7LIMIT_7EDO,7,2,C+2,342.857143,1.219013654204,161.499000
7EDO-004,MICRORIMBA_7LIMIT_7EDO,7,3,C+3,514.285714,1.345900192633,183.032000
7EDO-005,MICRORIMBA_7LIMIT_7EDO,7,4,C+4,685.714286,1.485994289137,193.799000
7EDO-006,MICRORIMBA_7LIMIT_7EDO,7,5,C+5,857.142857,1.640670712016,215.332000
7EDO-007,MICRORIMBA_7LIMIT_7EDO,7,6,C+6,1028.571429,1.811447328528,236.865000
7EDO-008,MICRORIMBA_7LIMIT_7EDO,7,7,C+7,1200.0,2.0,258.398000
7EDO-009,MICRORIMBA_7LIMIT_7EDO,7,8,C+8,1371.428571,2.208179027349,290.698000
7EDO-010,MICRORIMBA_7LIMIT_7EDO,7,9,C+9,1542.857143,2.438027308408,322.998000
7EDO-011,MICRORIMBA_7LIMIT_7EDO,7,10,C+10,1714.285714,2.691800385266,355.298000
7EDO-012,MICRORIMBA_7LIMIT_7EDO,7,11,C+11,1885.714286,2.971988578275,387.598000
7EDO-013,MICRORIMBA_7LIMIT_7EDO,7,12,C+12,2057.142857,3.281341424032,430.664000
7EDO-014,MICRORIMBA_7LIMIT_7EDO,7,13,C+13,2228.571429,3.622894657056,473.730000
7EDO-015,MICRORIMBA_7LIMIT_7EDO,7,14,C+14,2400.0,4.0,527.563000
